    1  HONIARA/HENDERSON             AGGH  HONIARA, SOLOMON ISLANDS      0925420}16003120}000280  
    2  MUNDA                         AGGM  MUNDA/N  GEORGE I, SOLOMON I  0819300}15715480}000100  
    3  NAURU INTL                    ANAU  NAURU ISLAND, NAURU           0032540}16655000}000220  
    4  GOROKA                        AYGA  GOROKA, PAPUA NEW GUINEA      0605000}14523300}052080  
    5  MADANG                        AYMD  MADANG, PAPUA NEW GUINEA      0512360}14547180}000110  
    6  MOUNT HAGEN                   AYMH  MOUNT HAGEN, PAPUA NEW GUINEA 0549360}14417480}053500  
    7  PORT MORESBY/JACKSON INTL     AYPY  PORT MORESBY, PAPUA N  GUINEA 0926360}14713120}001460  
    8  WEWAK INTL                    AYWK  WEWAK, PAPUA NEW GUINEA       0335060}14340060}000190  
    9  AKUREYRI                      BIAR  AKUREYRI, ICELAND             65393000018042400000060  
   10  EGILSSTADIR                   BIEG  EGILSSTADIR, ICELAND          65170000014240600000760  
   11  HORNAFJORDUR                  BIHN  HOFN/HORNAFJORDUR, ICELAND    64174200015134200000300  
   12  ISAFJORDUR                    BIIS  ISAFJORDUR, ICELAND           66034800023074200000100  
   13  REYKJAVIK                     BIRK  REYKJAVIK, ICELAND            64075400021561800000450  
   14  SAULT STE MARIE               CYAM  SAULT STE MARIE, ONT, CANADA  46290600084303400006300  
   15  ST ANDREWS                    CYAV  WINNIPEG, MAN, CANADA         50032500097014900007600  
   16  SHEARWATER                    CYAW  HALIFAX, NS, CANADA           44382300063295800001670  
   17  BAGOTVILLE                    CYBG  BAGOTVILLE, CANADA            48195000070594700005220  
   18  SPRINGBANK                    CYBW  CALGARY, ALTA, CANADA         51061100114222800039370  
   19  CORNWALL REGIONAL             CYCC  CORNWALL, ONT, CANADA         45053400074334800001750  
   20  NANAIMO                       CYCD  NANAIMO, BC, CANADA           49030800123521200000930  
   21  CHILLIWACK                    CYCW  CHILLIWACK, BC, CANADA        49091000121562000000320  
   22  EDMONDTON INTL                CYEG  EDMONTON, ALTA, CANADA        53183500113344200023730  
   23  ESTEVAN                       CYEN  ESTEVAN,SASK, CANADA          49123700102575700019050  
   24  FREDERICTON                   CYFC  FREDERICTON, NB, CANADA       45521000066315400000670  
   25  IQALUIT                       CYFB  IQALUIT, NWT, CANADA          63452300063332100001100  
   26  BRANTFORD                     CYFD  BRANTFORD, ONT, CANADA        43075300080203300008150  
   27  KINGSTON                      CYGK  KINGSTON, ONT, CANADA         44133100076355600003050  
   28  HAMILTON                      CYHM  HAMILTON, ONT, CANADA         43101900079555300007800  
   29  ST HUBERT                     CYHU  MONTREAL, QUE, CANADA         45310300073250100000900  
   30  HALIFAX INTL                  CYHZ  HALIFAX, NS, CANADA           44525100063303100004770  
   31  ST JEAN                       CYJN  ST JEAN, QUE, CANADA          45174000073165200001360  
   32  WATERLOO-GUELPH REGIONAL      CYKF  KITCHENER, ONT, CANADA        43273200080230400010400  
   33  TORONTO-BUTTONVILLE INTL      CYKZ  TORONTO, ONT, CANADA          43514400079221200006500  
   34  LLOYDMINSTER                  CYLL  LLOYDMINSTER, ALTA, CANADA    53183300110042100021940  
   35  KELOWNA                       CYLW  KELOWNA, BC, CANADA           49572200119224000014090  
   36  MOOSE JAW                     CYMJ  MOOSE JAW, SASK, CANADA       50194800105332900018920  
