1965.589041
   Z       E         F
   1  1.000E-02  1.174E+02
   1  1.150E-02  1.342E+02
   1  1.322E-02  1.533E+02
   1  1.520E-02  1.748E+02
   1  1.748E-02  1.992E+02
   1  2.009E-02  2.266E+02
   1  2.310E-02  2.575E+02
   1  2.656E-02  2.921E+02
   1  3.054E-02  3.306E+02
   1  3.511E-02  3.734E+02
   1  4.037E-02  4.207E+02
   1  4.642E-02  4.727E+02
   1  5.337E-02  5.293E+02
   1  6.136E-02  5.905E+02
   1  7.055E-02  6.561E+02
   1  8.111E-02  7.256E+02
   1  9.326E-02  7.984E+02
   1  1.072E-01  8.733E+02
   1  1.233E-01  9.494E+02
   1  1.417E-01  1.024E+03
   1  1.630E-01  1.097E+03
   1  1.874E-01  1.165E+03
   1  2.154E-01  1.225E+03
   1  2.477E-01  1.276E+03
   1  2.848E-01  1.314E+03
   1  3.275E-01  1.338E+03
   1  3.765E-01  1.344E+03
   1  4.329E-01  1.334E+03
   1  4.977E-01  1.304E+03
   1  5.722E-01  1.257E+03
   1  6.579E-01  1.194E+03
   1  7.565E-01  1.116E+03
   1  8.697E-01  1.026E+03
   1  1.000E+00  9.286E+02
   1  1.150E+00  8.264E+02
   1  1.322E+00  7.237E+02
   1  1.520E+00  6.233E+02
   1  1.748E+00  5.281E+02
   1  2.009E+00  4.407E+02
   1  2.310E+00  3.619E+02
   1  2.656E+00  2.927E+02
   1  3.054E+00  2.334E+02
   1  3.511E+00  1.836E+02
   1  4.037E+00  1.425E+02
   1  4.642E+00  1.093E+02
   1  5.337E+00  8.284E+01
   1  6.136E+00  6.214E+01
   1  7.055E+00  4.615E+01
   1  8.111E+00  3.397E+01
   1  9.326E+00  2.480E+01
   1  1.072E+01  1.798E+01
   1  1.233E+01  1.292E+01
   1  1.417E+01  9.253E+00
   1  1.630E+01  6.573E+00
   1  1.874E+01  4.653E+00
   1  2.154E+01  3.281E+00
   1  2.477E+01  2.302E+00
   1  2.848E+01  1.610E+00
   1  3.275E+01  1.122E+00
   1  3.765E+01  7.808E-01
   1  4.329E+01  5.416E-01
   1  4.977E+01  3.750E-01
   1  5.722E+01  2.592E-01
   1  6.579E+01  1.788E-01
   1  7.565E+01  1.232E-01
   1  8.697E+01  8.478E-02
   1  1.000E+02  5.826E-02
   1  1.150E+02  3.998E-02
   1  1.322E+02  2.745E-02
   1  1.520E+02  1.882E-02
   1  1.748E+02  1.289E-02
   1  2.009E+02  8.833E-03
   1  2.310E+02  6.045E-03
   1  2.656E+02  4.136E-03
   1  3.054E+02  2.828E-03
   1  3.511E+02  1.934E-03
   1  4.037E+02  1.322E-03
   1  4.642E+02  9.030E-04
   1  5.337E+02  6.170E-04
   1  6.136E+02  4.215E-04
   1  7.055E+02  2.879E-04
   1  8.111E+02  1.966E-04
   1  9.326E+02  1.342E-04
   1  1.072E+03  9.170E-05
   1  1.233E+03  6.254E-05
   1  1.417E+03  4.274E-05
   1  1.630E+03  2.914E-05
   1  1.874E+03  1.989E-05
   1  2.154E+03  1.358E-05
   1  2.477E+03  9.267E-06
   1  2.848E+03  6.324E-06
   1  3.275E+03  4.313E-06
   1  3.765E+03  2.944E-06
   1  4.329E+03  2.009E-06
   1  4.977E+03  1.371E-06
   1  5.722E+03  9.356E-07
   1  6.579E+03  6.384E-07
   1  7.565E+03  4.355E-07
   1  8.697E+03  2.972E-07
   1  1.000E+04  2.027E-07
   2  4.000E-02  6.878E+00
   2  4.600E-02  7.831E+00
   2  5.288E-02  8.900E+00
   2  6.080E-02  1.010E+01
   2  6.992E-02  1.144E+01
   2  8.036E-02  1.293E+01
   2  9.240E-02  1.458E+01
   2  1.062E-01  1.639E+01
   2  1.222E-01  1.838E+01
   2  1.404E-01  2.053E+01
