START--------------------------------------------------------
N, 24.320000, E, 13.230000, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 23.667273, E, 13.704444, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 23.014545, E, 14.178889, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 22.361818, E, 14.653333, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 21.709091, E, 15.127778, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 21.056364, E, 15.602222, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 20.403636, E, 16.076667, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 19.750909, E, 16.551111, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 19.098182, E, 17.025556, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 18.445455, E, 17.500000, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 17.792727, E, 17.974444, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 17.140000, E, 18.448889, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 16.487273, E, 18.923333, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 15.834545, E, 19.397778, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 15.181818, E, 19.872222, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 14.529091, E, 20.346667, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 13.876364, E, 20.821111, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 13.223636, E, 21.295556, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 12.570909, E, 21.770000, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 11.918182, E, 22.244444, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 11.265455, E, 22.718889, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 10.612727, E, 23.193333, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 9.960000, E, 23.667778, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 9.307273, E, 24.142222, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 8.654545, E, 24.616667, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 8.001818, E, 25.091111, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 7.349091, E, 25.565556, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 6.696364, E, 26.040000, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 6.043636, E, 26.514444, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 5.390909, E, 26.988889, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 4.738182, E, 27.463333, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 4.085455, E, 27.937778, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 3.432727, E, 28.412222, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 2.780000, E, 28.886667, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 2.127273, E, 29.361111, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 1.474545, E, 29.835556, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 0.821818, E, 30.310000, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 0.169091, E, 30.784444, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 0.483636, E, 31.258889, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 1.136364, E, 31.733333, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 1.789091, E, 32.207778, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 2.441818, E, 32.682222, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 3.094545, E, 33.156667, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 3.747273, E, 33.631111, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 4.400000, E, 34.105556, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 5.052727, E, 34.580000, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 5.705455, E, 35.054444, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 6.358182, E, 35.528889, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 7.010909, E, 36.003333, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 7.663636, E, 36.477778, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 8.316364, E, 36.952222, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 8.969091, E, 37.426667, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 9.621818, E, 37.901111, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 10.274545, E, 38.375556, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 10.927273, E, 38.850000, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 11.580000, E, 39.324444, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 12.232727, E, 39.798889, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 12.885455, E, 40.273333, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 13.538182, E, 40.747778, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 14.190909, E, 41.222222, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 14.843636, E, 41.696667, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 15.496364, E, 42.171111, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 16.149091, E, 42.645556, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 16.801818, E, 43.120000, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 17.454545, E, 43.594444, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 18.107273, E, 44.068889, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 18.760000, E, 44.543333, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 19.412727, E, 45.017778, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 20.065455, E, 45.492222, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 20.718182, E, 45.966667, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 21.370909, E, 46.441111, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 22.023636, E, 46.915556, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 22.676364, E, 47.390000, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 23.329091, E, 47.864444, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 23.981818, E, 48.338889, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 24.634545, E, 48.813333, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 25.287273, E, 49.287778, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 25.940000, E, 49.762222, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 26.592727, E, 50.236667, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 27.245455, E, 50.711111, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 27.898182, E, 51.185556, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 28.550909, E, 51.660000, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 29.203636, E, 52.134444, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 29.856364, E, 52.608889, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 30.509091, E, 53.083333, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 31.161818, E, 53.557778, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 31.814545, E, 54.032222, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 32.467273, E, 54.506667, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 33.120000, E, 54.981111, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 33.772727, E, 55.455556, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 34.425455, E, 55.930000, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 35.078182, E, 56.404444, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 35.730909, E, 56.878889, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 36.383636, E, 57.353333, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 37.036364, E, 57.827778, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 37.689091, E, 58.302222, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 38.341818, E, 58.776667, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 38.994545, E, 59.251111, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 39.647273, E, 59.725556, K, 11, 2017/04/29, H0, D4, P0, C4, S0
S, 40.300000, E, 60.200000, K, 11, 2017/04/29, H0, D4, P0, C4, S0
STOP---------------------------------------------------------
