START-----------------------
N, 13.230000, E, 24.320000, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 13.781041, E, 23.591042, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 14.326018, E, 22.860083, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 14.865189, E, 22.127210, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 15.398806, E, 21.392509, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 15.927113, E, 20.656063, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 16.450348, E, 19.917952, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 16.968745, E, 19.178254, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 17.482529, E, 18.437046, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 17.991923, E, 17.694400, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 18.497143, E, 16.950390, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 18.998400, E, 16.205086, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 19.495902, E, 15.458556, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 19.989850, E, 14.710866, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 20.480444, E, 13.962084, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 20.967878, E, 13.212271, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 21.452343, E, 12.461492, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 21.934025, E, 11.709807, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 22.413111, E, 10.957278, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 22.889781, E, 10.203962, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 23.364213, E, 9.449920, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 23.836583, E, 8.695207, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 24.307066, E, 7.939881, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 24.775832, E, 7.183997, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 25.243052, E, 6.427612, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 25.708893, E, 5.670778, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 26.173521, E, 4.913551, K, 11, 2017/04/29, H0, D4, P0, C4, S0
N, 26.637101, E, 4.155984, K, 11, 2017/04/29, H0, D4, P0, C4, S0
